Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s           s_zk        s_rxk       s_zr        z           r           x           k           q           a           m1                  m2                  
A     2682        93          2589        3545        3343        4512        5206        4988        863         93          1                   6227/2589           
A     4216        740         3476        5954        4912        2635        7154        5008        1738        740         1                   5085/1738           
A     7003        1219        5784        9895        8331        8578        7154        5659        2892        1219        1                   8449/2892           
A     3952        32          3920        4064        7098        478         422         9029        112         32          1                   501/245             
A     4366        1957        2409        6775        3419        1273        3213        7822        2409        1957        1                   11141/2409          
A     4603        802         3801        5870        4413        8297        2480        7939        1267        802         1                   3491/1267           
A     3909        492         3417        7326        1540        1571        1903        9346        3417        492         1                   3745/1139           
A     5602        191         5411        6375        7986        3247        8436        6928        773         191         1                   1711/773            
A     2330        315         2015        2733        5501        8210        535         1734        403         315         1                   5063/2015           
A     4322        1176        3146        7468        3958        1125        8771        8265        3146        1176        1                   5895/1573           
A     4862        43          4819        9681        7337        8383        7798        5605        4819        43          1                   14543/4819          
A     4594        1763        2831        7425        7438        7694        3287        7846        2831        1763        1                   12019/2831          
A     6722        1130        5592        8120        4321        6156        199         6994        1398        1130        1                   7421/2796           
A     4971        1137        3834        6888        5597        7785        2207        4632        1917        1137        1                   3953/1278           
A     7316        404         6912        8084        113         1571        1996        621         768         404         1                   1925/864            
A     3877        1827        2050        5927        1276        4746        9095        681         2050        1827        1                   4902/1025           
A     4592        762         3830        5358        4262        3308        5868        1408        766         762         1                   995/383             
A     8778        244         8534        9280        1946        9603        5868        7775        502         244         1                   9029/4267           
A     7413        523         6890        7943        1611        5802        4246        3632        530         523         1                   7678/3445           
A     2528        635         1893        4421        8440        7177        2701        5143        1893        635         1                   6949/1893           
A     4587        1164        3423        8010        7635        9596        635         3470        3423        1164        1                   4199/1141           
A     1691        19          1672        1900        9428        9908        635         7674        209         19          1                   189/88              
A     8375        570         7805        9490        2184        123         1352        6435        1115        570         1                   3573/1561           
A     1304        516         788         2092        3389        8603        1352        7782        788         516         1                   849/197             
A     4762        1278        3484        6504        9380        753         2034        3173        1742        1278        1                   5633/1742           
A     9207        601         8606        9869        8795        7807        6574        25          662         601         1                   9538/4303           
A     3184        344         2840        3539        9711        3607        7215        1556        355         344         1                   6723/2840           
A     5143        1556        3587        8730        1023        6585        6780        3811        3587        1556        1                   13873/3587          
A     2038        190         1848        2302        4570        2212        5153        1265        264         190         1                   155/66              
A     4946        513         4433        9379        3834        8875        5153        8072        4433        513         1                   14325/4433          
A     6807        1835        4972        9293        1588        6389        5917        5719        2486        1835        1                   4025/1243           
A     5552        716         4836        7164        1396        4803        8331        4370        1612        716         1                   3179/1209           
A     7333        97          7236        7441        9876        2985        6511        6242        108         97          1                   7387/3618           
A     7935        963         6972        9097        5082        6366        6511        1477        1162        963         1                   4258/1743           
A     6593        2035        4558        8872        1799        9019        1477        533         2279        2035        1                   15465/4558          
A     3139        147         2992        3315        4191        436         4303        9382        176         147         1                   3227/1496           
A     4613        293         4320        5333        6632        1415        4609        9157        720         293         1                   4973/2160           
A     4353        63          4290        4548        1765        8027        1609        6048        195         63          1                   2967/1430           
A     5094        2160        2934        8028        719         8384        9224        5742        2934        2160        1                   729/163             
A     2951        1181        1770        4721        9526        2611        9682        1941        1770        1181        1                   3836/885            
A     5752        1714        4038        7771        3172        766         4701        9823        2019        1714        1                   13523/4038          
A     1672        413         1259        2931        1459        5310        1763        6859        1259        413         1                   4603/1259           
A     3336        344         2992        6328        6042        4973        6982        6747        2992        344         1                   604/187             
A     4812        790         4022        8834        430         4610        6982        929         4022        790         1                   6823/2011           
A     4769        598         4171        8940        2257        4420        6820        7141        4171        598         1                   13709/4171          
A     2818        53          2765        2897        9503        5815        9084        2642        79          53          1                   1143/553            
A     5228        790         4438        7447        5741        3944        6271        9047        2219        790         1                   12675/4438          
A     2124        484         1640        2944        8027        4684        5074        3966        820         484         1                   1267/410            
A     2788        589         2199        4987        7568        3197        4728        4063        2199        589         1                   7775/2199           
A     5709        1607        4102        7760        3656        4255        4728        194         2051        1607        1                   13469/4102          
A     3099        761         2338        4268        6206        990         2858        4338        1169        761         1                   7367/2338           
A     4793        20          4773        4904        4348        8932        2470        2329        111         20          1                   9697/4773           
A     7024        1464        5560        9804        9639        5926        809         3642        2780        1464        1                   4207/1390           
A     4203        465         3738        7941        8703        7398        5014        4786        3738        465         1                   2024/623            
A     5118        468         4650        6668        2123        5158        5115        7202        1550        468         1                   5893/2325           
A     4320        95          4225        5165        4313        7514        3664        8079        845         95          1                   1897/845            
A     1403        191         1212        2615        8210        8553        895         9757        1212        191         1                   2009/606            
A     4269        249         4020        5073        6421        6112        4322        801         804         249         1                   1557/670            
A     7772        1268        6504        9940        6156        306         8905        2241        2168        1268        1                   738/271             
A     6991        105         6886        7304        2268        8353        7422        6737        313         105         1                   14295/6886          
A     5077        2389        2688        7765        5061        6209        7422        7490        2688        2389        1                   6421/1344           
A     5932        640         5292        7255        4300        5414        6707        9689        1323        640         1                   13187/5292          
A     4681        1053        3628        6495        1197        3028        9553        9818        1814        1053        1                   2794/907            
A     6008        88          5920        6168        9904        7496        9730        4903        160         88          1                   761/370             
A     5018        1604        3414        6725        6706        5689        4204        5443        1707        1604        1                   11743/3414          
A     6211        36          6175        6686        1814        4674        4251        6000        475         36          1                   12897/6175          
A     5284        1440        3844        7206        7468        7942        4251        9081        1922        1440        1                   6245/1922           
A     3659        110         3549        4166        8528        101         4531        7515        507         110         1                   7825/3549           
A     6555        266         6289        6886        3481        6367        7716        2640        331         266         1                   13441/6289          
A     6647        137         6510        6857        8318        2202        7172        967         210         137         1                   6752/3255           
A     2923        323         2600        3573        6482        1469        2121        4716        650         323         1                   812/325             
A     6343        675         5668        9177        4097        5926        1047        3642        2834        675         1                   3880/1417           
A     8238        37          8201        8377        3651        9295        4769        5206        139         37          1                   16615/8201          
A     3764        524         3240        4412        2689        35          562         2706        648         524         1                   1022/405            
A     4017        827         3190        5612        3450        4520        3343        6122        1595        827         1                   9629/3190           
A     4890        2350        2540        7430        4089        9240        2267        8020        2540        2350        1                   616/127             
A     5285        465         4820        6490        2788        7760        8880        4165        1205        465         1                   2355/964            
A     3424        120         3304        3896        1516        2422        1857        2551        472         120         1                   915/413             
A     2663        115         2548        3300        8084        3280        8867        7061        637         115         1                   5963/2548           
A     5787        1921        3866        9653        7378        6460        8867        5489        3866        1921        1                   7720/1933           
A     2662        198         2464        3894        2554        3545        8180        8289        1232        198         1                   149/56              
A     6026        536         5490        6941        3457        2790        1129        8096        915         536         1                   12967/5490          
A     2365        620         1745        4110        8719        6274        1129        3226        1745        620         1                   1295/349            
A     4718        1765        2953        7671        7017        8319        4656        6233        2953        1765        1                   12389/2953          
A     4279        1119        3160        7439        476         7449        8075        1154        3160        1119        1                   5859/1580           
A     6661        2115        4546        8934        2144        2561        9706        5891        2273        2115        1                   15595/4546          
A     4855        811         4044        6203        7946        5481        9706        8132        1348        811         1                   1843/674            
A     4822        1015        3807        6091        6084        4226        6570        4638        1269        1015        1                   10913/3807          
A     3474        182         3292        4297        3826        4870        9475        5627        823         182         1                   7771/3292           
A     9018        53          8965        9833        9218        7186        2479        133         815         53          1                   18851/8965          
A     4053        1372        2681        6734        5451        6421        3170        1474        2681        1372        1                   1541/383            
A     5539        1077        4462        7770        4633        4158        5069        3324        2231        1077        1                   13309/4462          
A     7815        837         6978        8978        7271        1054        9042        7523        1163        837         1                   16793/6978          
A     3784        428         3356        4623        3872        6506        5499        31          839         428         1                   8407/3356           
A     2910        264         2646        3204        48          7542        2980        4989        294         264         1                   1019/441            
A     8694        54          8640        8982        4766        5389        6735        5705        288         54          1                   491/240             
A     8816        80          8736        9544        1960        1266        6735        8950        728         80          1                   765/364             
A     7135        295         6840        7477        9683        1202        8666        1859        342         295         1                   3653/1710           
A     4554        642         3912        5532        4890        3352        2971        3351        978         642         1                   1681/652            
A     1707        42          1665        1892        9368        3358        1643        1381        185         42          1                   3599/1665           
A     8781        201         8580        9496        6038        992         9537        4211        715         201         1                   18277/8580          
A     6841        1133        5708        8268        7362        9960        3075        34          1427        1133        1                   15109/5708          
A     7316        1712        5604        9184        8044        5567        3075        6820        1868        1712        1                   1375/467            
A     6042        2177        3865        9907        6254        9661        1894        139         3865        2177        1                   15949/3865          
A     3336        1012        2324        5660        7084        3552        3181        1424        2324        1012        1                   2249/581            
A     7109        86          7023        9450        8752        4422        5679        1173        2341        86          1                   16559/7023          
A     2413        31          2382        3604        6687        6599        5242        6907        1191        31          1                   6017/2382           
A     875         287         588         1463        4125        8665        4432        7041        588         287         1                   167/42              
A     6683        1245        5438        9402        9472        1914        7941        5132        2719        1245        1                   16085/5438          
A     3286        304         2982        3712        9408        136         1018        7916        426         304         1                   3499/1491           
A     5716        1507        4209        9925        301         6490        9210        5866        4209        1507        1                   15641/4209          
A     3390        24          3366        3696        6561        6349        4599        7743        306         24          1                   1181/561            
A     3991        180         3811        7802        2293        2581        4599        3008        3811        180         1                   11793/3811          
A     4760        572         4188        6156        6758        5800        5908        2702        1396        572         1                   2729/1047           
A     4849        928         3921        6156        767         73          3048        3016        1307        928         1                   11005/3921          
A     4260        585         3675        7935        5763        9958        3048        5972        3675        585         1                   813/245             
A     7657        1369        6288        9229        9260        2017        8618        3889        1572        1369        1                   8443/3144           
A     4282        1881        2401        6683        5233        8296        6494        5021        2401        1881        1                   10965/2401          
A     3074        37          3037        6111        9377        8318        3422        4578        3037        37          1                   9185/3037           
A     1610        404         1206        2816        281         5898        2378        1101        1206        404         1                   2213/603            
A     3262        22          3240        3667        5616        6963        971         8927        405         22          1                   6929/3240           
A     1799        103         1696        2011        8857        6580        8023        9060        212         103         1                   1905/848            
A     4440        280         4160        4760        8972        2800        3473        751         320         280         1                   115/52              
A     2971        10          2961        3394        7209        2355        1606        5428        423         10          1                   6365/2961           
A     4498        609         3889        8387        1765        7792        401         8629        3889        609         1                   12885/3889          
A     4374        1280        3094        7468        7523        8871        2991        3784        3094        1280        1                   5921/1547           
A     5091        2545        2546        7637        5761        7304        5697        3144        2546        2545        1                   6364/1273           
A     4962        242         4720        7322        5349        2597        5697        7118        2360        242         1                   3071/1180           
A     6968        60          6908        7125        1653        348         713         3654        157         60          1                   14093/6908          
A     4079        243         3836        4627        3078        1436        8770        4459        548         243         1                   4353/1918           
A     2104        630         1474        2841        9411        1913        8823        1182        737         630         1                   4945/1474           
A     5609        12          5597        5802        2848        373         6750        42          193         12          1                   11411/5597          
A     6088        2345        3743        9831        1529        8774        5866        7159        3743        2345        1                   15919/3743          
A     3702        105         3597        4029        8475        5896        7219        688         327         105         1                   2577/1199           
A     5190        576         4614        6728        9677        5957        7212        5772        1538        576         1                   5959/2307           
A     9861        63          9798        9930        4045        5411        4805        6680        69          63          1                   6597/3266           
A     5269        349         4920        6089        4924        7687        4805        4852        820         349         1                   1893/820            
A     5801        34          5767        5880        820         7057        6478        3136        79          34          1                   11681/5767          
A     4656        972         3684        5884        4240        2700        1344        1232        1228        972         1                   2635/921            
A     5731        1177        4554        8008        7598        7982        1344        2953        2277        1177        1                   1249/414            
A     3583        151         3432        3847        1745        7536        7225        3410        264         151         1                   3715/1716           
A     4620        1969        2651        7271        2606        5407        5551        846         2651        1969        1                   1081/241            
A     5859        1825        4034        7876        4817        1988        4237        1306        2017        1825        1                   13735/4034          
A     4552        733         3819        5825        4408        7818        9366        7645        1273        733         1                   3459/1273           
A     1408        530         878         2286        321         4292        9366        219         878         530         1                   1847/439            
