Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s           s_zk        s_rxk       s_zr        z           r           x           k           q           a           m1                  m2                  
A     3824        259         3565        7389        9462        4959        7725        6256        3565        259         1                   11213/3565          
A     5938        1956        3982        7929        2418        7089        6797        7643        1991        1956        1                   13867/3982          
A     7487        122         7365        7978        401         6532        933         6239        491         122         1                   1031/491            
A     4263        279         3984        5591        7064        7754        1884        8803        1328        279         1                   4927/1992           
A     2932        886         2046        3955        562         344         282         9472        1023        886         1                   6887/2046           
A     8798        678         8120        9813        7913        1417        319         7094        1015        678         1                   18611/8120          
A     6203        1693        4510        8458        2077        2581        1475        6959        2255        1693        1                   14661/4510          
A     5568        1980        3588        9156        2829        9706        5185        6057        3588        1980        1                   1227/299            
A     2148        523         1625        3773        6785        6348        2120        5804        1625        523         1                   5921/1625           
A     5470        234         5236        6779        6348        3460        512         4098        1309        234         1                   12249/5236          
A     1815        135         1680        1955        2675        8142        1605        4080        140         135         1                   377/168             
A     5798        570         5228        7105        2253        4458        7978        7512        1307        570         1                   12903/5228          
A     1871        463         1408        3279        854         1346        6395        339         1408        463         1                   2575/704            
A     5494        158         5336        5726        9662        6615        24          5032        232         158         1                   2805/1334           
A     1371        577         794         2165        582         6186        5285        5327        794         577         1                   1768/397            
A     8007        237         7770        8784        6566        733         9382        3080        777         237         1                   5597/2590           
A     7996        268         7728        8548        5600        2059        720         9248        552         268         1                   1034/483            
A     4394        40          4354        6571        7005        3568        6008        498         2177        40          1                   10965/4354          
A     6357        317         6040        7565        8455        7345        1692        7508        1208        317         1                   6961/3020           
A     3319        301         3018        3822        7802        2696        4094        2914        503         301         1                   7141/3018           
A     8742        510         8232        9330        669         5869        5382        5096        588         510         1                   753/343             
A     5994        723         5271        6747        6056        3087        7744        3402        753         723         1                   4247/1757           
A     7540        1172        6368        9132        1051        6666        3393        921         1592        1172        1                   521/199             
A     4446        7           4439        4639        4841        6752        5718        7414        193         7           1                   395/193             
A     6891        51          6840        6948        6241        7028        338         2255        57          51          1                   4613/2280           
A     5503        811         4692        6676        6176        85          3043        8668        1173        811         1                   12179/4692          
A     5163        993         4170        6553        3089        3916        4364        6218        1390        993         1                   5858/2085           
A     7212        460         6752        8056        7751        4710        3487        9553        844         460         1                   3817/1688           
A     7031        195         6836        8740        1540        394         7778        9417        1709        195         1                   15771/6836          
A     7862        386         7476        9108        5565        9657        9581        5117        1246        386         1                   8485/3738           
A     2826        930         1896        3774        5394        7706        2730        2406        948         930         1                   275/79              
A     6101        17          6084        6608        3519        2027        5445        963         507         17          1                   12709/6084          
A     6990        350         6640        7654        1465        2747        1364        9491        664         350         1                   3661/1660           
A     7862        32          7830        7949        1225        7557        5884        5728        87          32          1                   15811/7830          
A     8246        486         7760        9798        9518        2198        5884        1464        1552        486         1                   4511/1940           
A     3689        1128        2561        6250        2065        3985        5496        5918        2561        1128        1                   9939/2561           
A     7484        329         7155        8915        8125        3074        2187        384         1431        329         1                   16399/7155          
A     3812        217         3595        7407        9100        2716        4400        9254        3595        217         1                   11219/3595          
A     9309        17          9292        9332        7540        5955        8530        6119        23          17          1                   18641/9292          
A     7445        144         7301        8488        5881        6184        2726        9001        1043        144         1                   15933/7301          
A     6668        71          6597        7401        2409        4608        4915        8581        733         71          1                   14069/6597          
A     6005        1183        4822        8416        617         6766        8458        745         2411        1183        1                   14421/4822          
A     5544        328         5216        6848        4183        4231        9269        2054        1304        328         1                   1549/652            
A     8157        555         7602        9243        5116        3530        2530        6022        1086        555         1                   2900/1267           
A     6143        1079        5064        8675        6213        1981        9833        7086        2532        1079        1                   7409/2532           
A     4773        29          4744        7145        1315        9025        235         6579        2372        29          1                   5959/2372           
A     5632        1768        3864        9496        8336        7969        1722        1215        3864        1768        1                   1891/483            
A     4491        339         4152        4837        3372        9061        2340        1144        346         339         1                   1166/519            
A     2658        850         1808        4466        6035        227         7152        9546        1808        850         1                   1781/452            
A     6001        223         5778        8890        24          1201        6511        9561        2889        223         1                   14891/5778          
A     4019        169         3850        4294        1687        7754        9047        1164        275         169         1                   8313/3850           
A     5116        300         4816        5417        2441        5245        9041        2940        301         300         1                   10533/4816          
A     4595        149         4446        5336        7989        2547        8883        398         741         149         1                   9931/4446           
A     8202        1158        7044        9963        4552        5509        5205        4848        1761        1158        1                   6055/2348           
A     5654        930         4724        6835        7792        6779        4849        412         1181        930         1                   12489/4724          
A     4584        64          4520        4810        8265        4764        3624        5165        226         64          1                   4697/2260           
A     632         5           627         651         884         6123        3624        8039        19          5           1                   1283/627            
A     7950        374         7576        8897        7962        1467        3624        8560        947         374         1                   16847/7576          
A     3247        841         2406        5653        6277        5560        1812        5302        2406        841         1                   4450/1203           
A     6569        3264        3305        9874        4018        9389        3684        1638        3305        3264        1                   16443/3305          
A     8126        300         7826        8728        539         1551        8887        7878        602         300         1                   8427/3913           
A     8968        72          8896        9524        2337        341         5689        1497        556         72          1                   4623/2224           
A     2242        386         1856        3170        2275        9596        6229        3470        928         386         1                   1353/464            
A     5696        2116        3580        9276        6672        6903        9647        1536        3580        2116        1                   3743/895            
A     2781        339         2442        3188        2515        4424        4399        8374        407         339         1                   5969/2442           
A     8522        332         8190        9341        6113        8131        4884        4986        819         332         1                   17863/8190          
A     4346        181         4165        5179        9288        7919        385         3508        833         181         1                   1905/833            
A     1964        139         1825        2329        253         8361        1683        6225        365         139         1                   4293/1825           
A     5020        1196        3824        6932        5114        1046        3738        3637        1912        1196        1                   747/239             
A     6854        863         5991        8851        9201        8355        7932        2354        1997        863         1                   5235/1997           
A     3833        241         3592        5629        4525        1792        7180        8760        1796        241         1                   4731/1796           
A     4860        112         4748        7234        2474        4225        8036        4907        2374        112         1                   6047/2374           
A     4119        465         3654        4728        9353        1226        7964        2840        609         465         1                   983/406             
A     3050        14          3036        6086        2424        2264        4061        9268        3036        14          1                   2284/759            
A     3455        1066        2389        5844        6646        4383        262         5783        2389        1066        1                   9299/2389           
A     3583        1457        2126        5709        4216        51          262         5790        2126        1457        1                   4646/1063           
A     4243        58          4185        4708        3083        5061        2183        2082        465         58          1                   8951/4185           
A     5345        650         4695        6910        3290        8212        2183        4090        1565        650         1                   817/313             
A     5219        1984        3235        8454        3494        2062        7393        8798        3235        1984        1                   13673/3235          
A     5187        486         4701        6754        3453        4069        5159        5750        1567        486         1                   11941/4701          
A     7686        182         7504        8222        9079        4862        4627        561         536         182         1                   3977/1876           
A     5299        1320        3979        9278        5646        1195        1731        1356        3979        1320        1                   14577/3979          
A     6753        111         6642        8967        8887        5169        8271        9164        2214        111         1                   2620/1107           
A     4186        1228        2958        5665        8305        3169        7863        6500        1479        1228        1                   9851/2958           
A     1174        247         927         2101        6434        7828        8459        8373        927         247         1                   3275/927            
A     5184        1168        4016        9200        5993        8194        5329        2583        4016        1168        1                   899/251             
A     6032        371         5661        7919        5116        2166        3672        5983        1887        371         1                   13951/5661          
A     5267        2190        3077        8344        3419        3317        3203        5178        3077        2190        1                   13611/3077          
A     8834        2           8832        8898        9114        270         224         4335        64          2           1                   4433/2208           
A     3357        170         3187        6544        2354        7785        9830        5335        3187        170         1                   9901/3187           
A     4360        720         3640        5270        6058        1067        6718        2264        910         720         1                   963/364             
A     4227        1958        2269        6496        1782        7230        1656        9722        2269        1958        1                   10723/2269          
A     3307        285         3022        4818        1864        7542        3524        4989        1511        285         1                   8125/3022           
A     3012        6           3006        3030        1288        6549        6139        6980        18          6           1                   1007/501            
A     4864        1276        3588        6658        8644        2466        7230        775         1794        1276        1                   5761/1794           
A     2181        57          2124        2417        4705        1566        7647        3006        236         57          1                   2299/1062           
A     5458        82          5376        8146        2253        2335        2696        1920        2688        82          1                   3401/1344           
A     6525        1217        5308        9179        9104        9402        5102        2909        2654        1217        1                   3926/1327           
A     9341        17          9324        9377        5020        4626        2167        137         36          17          1                   1337/666            
A     3672        916         2756        6428        4923        3271        8884        9540        2756        916         1                   2525/689            
A     3123        386         2737        3514        1542        9129        8545        8054        391         386         1                   6637/2737           
A     3628        368         3260        4443        9453        7263        7248        8415        815         368         1                   8071/3260           
A     2122        426         1696        3818        4119        6377        9697        2069        1696        426         1                   1485/424            
A     5603        1382        4221        7010        6620        4834        4823        2099        1407        1382        1                   12613/4221          
A     4508        575         3933        5819        1692        2236        309         8100        1311        575         1                   449/171             
A     1662        730         932         2594        7293        2228        5786        3332        932         730         1                   1064/233            
A     1815        45          1770        3585        5983        4840        3905        728         1770        45          1                   180/59              
A     5269        4           5265        5620        9150        7996        648         9845        351         4           1                   10889/5265          
A     4737        1684        3053        7790        229         6345        648         5709        3053        1684        1                   12527/3053          
A     4080        204         3876        4308        6096        8300        648         6612        228         204         1                   699/323             
A     2895        161         2734        5629        7427        7010        4224        2837        2734        161         1                   4262/1367           
A     6575        23          6552        6603        7449        318         6166        3891        28          23          1                   6589/3276           
A     6211        461         5750        7361        4179        2766        5200        5240        1150        461         1                   6786/2875           
A     4783        431         4352        9135        4395        1839        5746        8044        4352        431         1                   6959/2176           
A     3148        377         2771        5919        7484        1246        9001        8871        2771        377         1                   9067/2771           
A     861         39          822         998         5047        879         442         6436        137         39          1                   1859/822            
A     6771        1374        5397        8570        2904        7286        5520        8423        1799        1374        1                   15341/5397          
A     3862        335         3527        7389        7193        4794        3009        6514        3527        335         1                   11251/3527          
A     9476        143         9333        9659        3370        3827        4858        3           183         143         1                   19135/9333          
A     8417        248         8169        9584        2556        9612        4039        9234        1167        248         1                   18001/8169          
A     4157        513         3644        5979        3307        7627        4039        3650        1822        513         1                   2534/911            
A     4164        8           4156        5203        2317        6786        7306        1269        1039        8           1                   9367/4156           
A     7035        735         6300        9135        5561        1828        1344        7250        2100        735         1                   77/30               
A     5533        103         5430        5895        4486        6349        3848        7743        362         103         1                   5714/2715           
A     3938        1150        2788        6726        1936        6377        961         7898        2788        1150        1                   2666/697            
A     9013        169         8844        9415        888         9697        4200        191         402         169         1                   4607/2211           
A     1652        110         1542        2423        7559        7586        1111        5803        771         110         1                   4075/1542           
A     4999        625         4374        9373        4013        586         1111        7404        4374        625         1                   7186/2187           
A     6392        1108        5284        9034        1960        1520        5340        9337        2642        1108        1                   7713/2642           
A     7937        497         7440        8681        7185        7044        2791        3106        744         497         1                   8309/3720           
A     4606        1082        3524        6368        6957        9647        7636        4854        1762        1082        1                   5487/1762           
A     4659        707         3952        6635        9483        254         237         6856        1976        707         1                   5647/1976           
A     2908        600         2308        4062        2589        7959        4001        8154        1154        600         1                   3485/1154           
A     4376        428         3948        4940        7128        2691        9788        7892        564         428         1                   2329/987            
A     3884        607         3277        7161        421         1982        3023        6654        3277        607         1                   11045/3277          
A     4472        48          4424        4551        3999        1190        1453        8337        79          48          1                   1289/632            
A     1292        149         1143        1673        8715        8270        4584        8112        381         149         1                   2965/1143           
A     4142        28          4114        4516        5710        5782        497         5474        374         28          1                   4329/2057           
A     6604        112         6492        9850        6140        8881        2107        6662        3246        112         1                   8227/3246           
A     3914        50          3864        4075        3676        7677        5220        3335        161         50          1                   2663/1288           
A     7109        1241        5868        8576        3193        2297        5220        6284        1467        1241        1                   15685/5868          
A     6829        205         6624        7243        9352        4915        6183        3322        414         205         1                   1759/828            
A     4681        2028        2653        7334        8518        9109        5505        1505        2653        2028        1                   12015/2653          
A     9097        157         8940        9395        1358        9673        9051        4646        298         157         1                   1541/745            
A     4680        546         4134        8814        8239        9512        1462        9586        4134        546         1                   173/53              
A     7390        414         6976        9134        2877        1576        808         5654        1744        414         1                   4131/1744           
A     6084        268         5816        7538        2407        3498        714         9023        1454        268         1                   6811/2908           
A     452         39          413         511         668         8043        1857        3208        59          39          1                   963/413             
A     1855        244         1611        2392        7271        7186        5474        133         537         244         1                   4247/1611           
A     7628        404         7224        9434        5157        6115        1810        4397        1806        404         1                   8531/3612           
A     5145        2020        3125        8270        8580        8028        7113        6854        3125        2020        1                   2683/625            
A     4718        1966        2752        7470        504         8202        2751        1230        2752        1966        1                   3047/688            
A     8664        474         8190        9210        1239        5003        1981        7361        546         474         1                   993/455             
A     2221        57          2164        3303        8289        9080        3804        8286        1082        57          1                   1381/541            
A     3876        1613        2263        6139        5651        6624        707         3489        2263        1613        1                   10015/2263          
A     4979        439         4540        5887        7338        6511        6422        2248        908         439         1                   5433/2270           
A     7807        286         7521        8134        2435        8243        5846        1400        327         286         1                   15941/7521          
A     3023        3           3020        3033        6312        9868        8506        7660        10          3           1                   1514/755            
A     6322        2679        3643        9965        2284        4006        4978        6176        3643        2679        1                   16287/3643          
A     7091        667         6424        8697        1999        1909        2211        1187        1606        667         1                   3947/1606           
A     3367        542         2825        6192        8480        3555        218         1615        2825        542         1                   9559/2825           
A     6121        2658        3463        9584        3627        3979        7775        7882        3463        2658        1                   15705/3463          
A     7007        165         6842        7629        3897        470         1472        9499        622         165         1                   7318/3421           
A     5358        108         5250        6233        6003        3858        1472        8398        875         108         1                   11591/5250          
A     4819        559         4260        6239        9567        408         2387        4409        1420        559         1                   1843/710            
A     7956        266         7690        8725        6145        8387        4157        8251        769         266         1                   16681/7690          
A     3006        624         2382        4197        798         4689        4157        975         1191        624         1                   2401/794            
A     5689        937         4752        6877        1790        221         9907        162         1188        937         1                   6283/2376           
A     4060        840         3220        7280        9702        4862        9907        561         3220        840         1                   81/23               
A     2973        1183        1790        4763        460         9349        5814        2841        1790        1183        1                   3868/895            
A     3735        151         3584        3959        6335        1736        719         5557        224         151         1                   3847/1792           
A     3857        382         3475        4552        1251        402         1955        3721        695         382         1                   8409/3475           
A     5661        798         4863        7282        9858        1762        9527        267         1621        798         1                   12943/4863          
A     4852        1159        3693        8545        631         519         119         7252        3693        1159        1                   13397/3693          
A     2456        84          2372        3642        1614        6227        3217        9930        1186        84          1                   3049/1186           
A     4373        752         3621        7994        735         6086        7611        8395        3621        752         1                   12367/3621          
A     5999        42          5957        6258        6651        3611        6197        5777        259         42          1                   1751/851            
A     2737        34          2703        2896        9723        3256        5902        4003        159         34          1                   5633/2703           
A     4579        469         4110        6634        2709        9447        7298        438         2055        469         1                   11213/4110          
A     5302        834         4468        6419        6624        6602        208         7033        1117        834         1                   11721/4468          
A     5705        2390        3315        9020        8531        6879        8448        7425        3315        2390        1                   2945/663            
A     3711        214         3497        3980        7728        9756        3429        6054        269         214         1                   7691/3497           
A     3766        401         3365        4439        7563        2805        5790        5485        673         401         1                   1641/673            
A     7870        280         7590        9388        1427        2081        2887        9150        1518        280         1                   8629/3795           
