Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s           s_zk        s_rxk       s_zr        z           r           x           k           q           a           m1                  m2                  
A     7952        908         7044        9126        5868        6208        9106        7365        1174        908         1                   8539/3522           
A     5642        492         5150        6672        2733        7836        1377        1510        1030        492         1                   6157/2575           
A     3970        422         3548        4857        8493        7996        130         9845        887         422         1                   8827/3548           
A     5362        201         5161        5759        4818        5837        4708        4636        397         201         1                   11121/5161          
A     3495        39          3456        3879        9009        5895        1018        8500        384         39          1                   1229/576            
A     4393        1414        2979        7372        6802        8409        6731        3092        2979        1414        1                   11765/2979          
A     164         32          132         197         7738        143         3865        6904        33          32          1                   361/132             
A     6420        1238        5182        9011        9869        6112        6087        801         2591        1238        1                   15431/5182          
A     7478        470         7008        9814        957         1937        3510        2323        2336        470         1                   1441/584            
A     6674        81          6593        7021        5057        1994        4003        2442        347         81          1                   13695/6593          
A     4144        120         4024        8168        3415        2311        4003        73          4024        120         1                   1539/503            
A     4259        1058        3201        7460        2657        2126        7032        1846        3201        1058        1                   11719/3201          
A     5140        84          5056        6404        5945        4122        1279        8832        1264        84          1                   1443/632            
A     4289        342         3947        8236        7343        2990        3183        5386        3947        342         1                   12525/3947          
A     2637        744         1893        4530        5997        6677        5779        2892        1893        744         1                   2389/631            
A     5988        2353        3635        9623        2975        2201        3295        8095        3635        2353        1                   15611/3635          
A     6184        886         5298        8833        4356        8031        8373        8544        2649        886         1                   15017/5298          
A     6639        747         5892        8603        3444        5614        973         7024        1964        747         1                   7621/2946           
A     684         162         522         945         4777        3543        5254        2316        261         162         1                   181/58              
A     3575        1227        2348        5923        4803        1182        7290        573         2348        1227        1                   4749/1174           
A     5881        451         5430        6967        4192        3366        4294        6132        1086        451         1                   6424/2715           
A     2407        271         2136        3475        6397        2414        3948        455         1068        271         1                   2941/1068           
A     5748        1580        4168        9916        3958        1040        4758        222         4168        1580        1                   1958/521            
A     4577        1709        2868        7445        6438        2938        949         3866        2868        1709        1                   6011/1434           
A     6734        700         6034        7596        251         5391        2528        6118        862         700         1                   7165/3017           
A     666         267         399         1065        835         6447        7113        8523        399         267         1                   577/133             
A     788         26          762         1042        986         3256        8102        4003        254         26          1                   305/127             
A     5032        1195        3837        8869        4728        6792        3526        8675        3837        1195        1                   13901/3837          
A     1321        385         936         2257        4019        132         7391        1312        936         385         1                   1789/468            
A     5543        1537        4006        7546        3634        7177        8696        5143        2003        1537        1                   13089/4006          
A     6522        879         5643        8403        5726        8146        8680        5478        1881        879         1                   4975/1881           
A     4193        189         4004        5194        8012        4392        7741        1718        1001        189         1                   1341/572            
A     4441        777         3664        8105        7309        3998        860         9123        3664        777         1                   6273/1832           
A     1788        67          1721        3509        9013        5941        3444        2079        1721        67          1                   5297/1721           
A     5237        1420        3817        9054        4897        2027        8031        963         3817        1420        1                   14291/3817          
A     1969        121         1848        2101        2157        7482        48          744         132         121         1                   185/84              
A     5203        1295        3908        9111        2224        4768        48          8529        3908        1295        1                   7157/1954           
A     4685        1228        3457        8142        7018        6091        5899        4880        3457        1228        1                   12827/3457          
A     1848        754         1094        2942        4927        1712        6300        3603        1094        754         1                   2395/547            
A     7421        405         7016        9175        7829        6788        7515        7855        1754        405         1                   4149/1754           
A     6046        91          5955        6443        1831        6650        7016        7131        397         91          1                   4163/1985           
A     2168        468         1700        3018        1919        6229        1317        5781        850         468         1                   2593/850            
A     920         452         468         1388        4913        51          1511        5790        468         452         1                   577/117             
A     7312        193         7119        9685        1965        5204        8562        2871        2373        193         1                   16997/7119          
A     1807        43          1764        2248        8864        6486        9475        4744        441         43          1                   4055/1764           
A     4912        1768        3144        8056        1175        2611        6081        8026        3144        1768        1                   1621/393            
A     2136        616         1520        2896        7616        9067        1449        4324        760         616         1                   629/190             
A     3299        1016        2283        5582        555         8702        1449        6862        2283        1016        1                   8881/2283           
A     3830        120         3710        5685        8544        1649        6688        140         1855        120         1                   1903/742            
A     6004        238         5766        6965        2463        7558        3418        8312        961         238         1                   4323/1922           
A     6005        180         5825        7170        2074        5530        4124        6853        1165        180         1                   527/233             
A     5975        675         5300        7300        8763        9100        6329        5074        1325        675         1                   531/212             
A     7110        950         6160        8342        1675        6247        8537        9075        1232        950         1                   3863/1540           
A     6046        778         5268        8680        7808        6833        9817        5364        2634        778         1                   7363/2634           
A     3706        964         2742        6448        6131        8635        9089        7171        2742        964         1                   5077/1371           
A     2337        217         2120        4457        9411        4850        8723        3065        2120        217         1                   3397/1060           
A     6348        664         5684        7769        7995        7815        1103        5620        1421        664         1                   14117/5684          
A     5476        2456        3020        8496        9715        2814        1723        3629        3020        2456        1                   3493/755            
A     8524        64          8460        8665        6553        1174        2552        4566        141         64          1                   17189/8460          
A     3156        66          3090        4701        7851        1425        1660        2666        1545        66          1                   2619/1030           
A     3625        1448        2177        5802        9244        6485        2693        9579        2177        1448        1                   9427/2177           
A     6493        323         6170        9578        492         5084        8636        6463        3085        323         1                   16071/6170          
A     4085        185         3900        4865        7817        3915        7434        2341        780         185         1                   179/78              
A     5947        57          5890        6536        3273        8757        9358        4915        589         57          1                   657/310             
A     6397        457         5940        6991        6976        6629        3823        3922        594         457         1                   3347/1485           
A     7412        1000        6412        9015        8271        1458        265         8603        1603        1000        1                   16427/6412          
A     3202        178         3024        4714        6675        6508        3546        2525        1512        178         1                   1979/756            
A     6527        439         6088        8049        8593        190         8363        3750        1522        439         1                   1822/761            
A     6337        1877        4460        8567        4001        5657        5998        8555        2230        1877        1                   3726/1115           
A     2717        1241        1476        4193        2625        6726        8654        1337        1476        1241        1                   3455/738            
A     6122        291         5831        6465        2142        5852        7539        7608        343         291         1                   12587/5831          
A     4228        1453        2775        7003        837         3033        6870        97          2775        1453        1                   11231/2775          
A     5021        501         4520        6151        1257        9512        2992        381         1130        501         1                   2793/1130           
A     5495        587         4908        7949        4756        5310        1978        3108        2454        587         1                   3361/1227           
A     2513        403         2110        4623        4041        6779        7335        412         2110        403         1                   3568/1055           
A     3549        1364        2185        5734        9175        4045        9332        552         2185        1364        1                   9283/2185           
A     5423        1758        3665        9088        7786        2523        7707        4921        3665        1758        1                   14511/3665          
A     4080        174         3906        4359        4320        4853        4590        180         279         174         1                   2813/1302           
A     4376        92          4284        4614        2128        5351        1223        4103        238         92          1                   4495/2142           
A     3297        1229        2068        5365        7889        6487        1223        4321        2068        1229        1                   4331/1034           
A     1851        43          1808        2303        9584        8868        2314        4554        452         43          1                   2077/904            
A     6523        395         6128        8055        8843        7273        2957        9408        1532        395         1                   7289/3064           
A     1854        326         1528        2236        7637        6792        4168        8675        382         326         1                   2045/764            
A     3124        370         2754        5878        9272        7076        9033        4732        2754        370         1                   4501/1377           
A     7553        313         7240        8458        4688        5874        7918        5598        905         313         1                   16011/7240          
A     1707        583         1124        2831        2073        1463        5701        9198        1124        583         1                   2269/562            
A     6964        144         6820        7184        1729        2114        1842        4704        220         144         1                   3537/1705           
A     7450        100         7350        8185        1431        4136        5468        14          735         100         1                   3127/1470           
A     8667        522         8145        9210        5689        5212        6156        5899        543         522         1                   5959/2715           
A     9083        490         8593        9744        3275        9340        8441        6026        661         490         1                   18827/8593          
A     5523        519         5004        6774        8650        4354        1530        8173        1251        519         1                   4099/1668           
A     2965        54          2911        3036        2288        193         2393        6090        71          54          1                   6001/2911           
A     4157        93          4064        5173        6479        2636        6500        3529        1016        93          1                   4665/2032           
A     3461        756         2705        6166        5047        4492        3353        3622        2705        756         1                   9627/2705           
A     1187        473         714         1901        9740        2187        8085        5179        714         473         1                   1544/357            
A     3919        489         3430        7349        5662        9449        4998        5480        3430        489         1                   5634/1715           
A     2156        366         1790        3946        9328        8713        9321        3041        1790        366         1                   3051/895            
A     6098        1110        4988        7345        9217        7100        5702        4384        1247        1110        1                   13443/4988          
A     7205        371         6834        8344        3220        2256        5702        6522        1139        371         1                   5183/2278           
A     1933        385         1548        2707        8575        7996        4484        9845        774         385         1                   1160/387            
A     3781        262         3519        4954        4567        3805        3486        2189        1173        262         1                   8735/3519           
A     9056        281         8775        9731        9120        9779        3792        7319        675         281         1                   18787/8775          
A     4484        1895        2589        7073        9807        4877        3979        6529        2589        1895        1                   11557/2589          
A     4643        1339        3304        6295        5026        1907        2631        6598        1652        1339        1                   5469/1652           
A     6533        560         5973        8524        2906        2980        9263        7436        1991        560         1                   5019/1991           
A     3532        168         3364        4373        1666        9497        9380        8627        841         168         1                   7905/3364           
A     2892        318         2574        5466        1312        8467        4750        4847        2574        318         1                   1393/429            
A     5770        1022        4748        6957        5553        7109        9541        2732        1187        1022        1                   12727/4748          
A     4229        188         4041        5576        245         7020        5580        8788        1347        188         1                   9805/4041           
A     2906        26          2880        3866        4486        8066        469         8825        960         26          1                   1693/720            
A     5976        972         5004        7227        5306        4241        5796        9321        1251        972         1                   1467/556            
A     1519        159         1360        2879        4362        8503        6724        1844        1360        159         1                   2199/680            
A     6389        219         6170        9474        5413        2099        6192        2646        3085        219         1                   15863/6170          
A     5176        860         4316        7334        4483        7483        1439        9567        2158        860         1                   6255/2158           
A     8310        491         7819        9427        7291        5453        8532        376         1117        491         1                   17737/7819          
A     3958        799         3159        7117        5487        8833        3234        6445        3159        799         1                   11075/3159          
A     3603        561         3042        5124        1342        1816        7015        7925        1521        561         1                   2909/1014           
A     4156        693         3463        7619        1231        2168        1850        1126        3463        693         1                   11775/3463          
A     5406        1026        4380        6866        89          1533        8338        5275        1460        1026        1                   3068/1095           
A     6504        434         6070        7718        5588        1068        9141        5112        1214        434         1                   7111/3035           
A     4705        211         4494        6203        8373        9169        7593        6384        1498        211         1                   1818/749            
A     4921        450         4471        9392        705         494         7593        7847        4471        450         1                   14313/4471          
A     5887        92          5795        5982        2997        2167        2289        6658        95          92          1                   11869/5795          
A     6133        433         5700        6608        12          3873        2744        4189        475         433         1                   4247/1900           
A     4961        9           4952        7437        9756        3602        6875        6188        2476        9           1                   6199/2476           
A     7607        547         7060        9019        9181        5251        2049        1838        1412        547         1                   8313/3530           
A     8010        506         7504        8546        8893        2739        1079        9651        536         506         1                   4139/1876           
A     3397        119         3278        6675        4188        9376        3820        3815        3278        119         1                   5036/1639           
A     5329        1765        3564        7111        5745        1436        3835        4459        1782        1765        1                   3110/891            
A     5760        372         5388        6658        8324        6493        7320        752         898         372         1                   6209/2694           
A     5846        1754        4092        9938        3387        2928        6427        5062        4092        1754        1                   3946/1023           
A     2228        308         1920        3188        7536        8830        5705        7306        960         308         1                   677/240             
A     1706        41          1665        3371        3963        1701        3907        6280        1665        41          1                   5077/1665           
A     3618        1355        2263        5881        2380        7863        9344        1571        2263        1355        1                   9499/2263           
A     3769        1065        2704        6473        1341        5988        6894        9009        2704        1065        1                   5121/1352           
A     5144        1683        3461        8605        3228        9911        7101        3011        3461        1683        1                   13749/3461          
A     5168        543         4625        9793        6968        5507        7506        9794        4625        543         1                   14961/4625          
A     6983        1730        5253        8734        4788        3728        8864        8964        1751        1730        1                   5239/1751           
A     4664        373         4291        5277        6991        9493        5063        7378        613         373         1                   9941/4291           
A     2523        427         2096        4619        6628        3909        8369        8546        2096        427         1                   3571/1048           
A     3810        1337        2473        6283        9659        3248        7040        8377        2473        1337        1                   10093/2473          
A     5038        2260        2778        7816        7284        6695        6304        7154        2778        2260        1                   6427/1389           
A     2960        972         1988        3954        766         7578        4752        8563        994         972         1                   3457/994            
A     4899        628         4271        9170        3824        6972        2948        5849        4271        628         1                   14069/4271          
A     4672        124         4548        5430        3123        7173        6980        8633        758         124         1                   5051/2274           
A     7581        1605        5976        9573        2866        2003        6980        4059        1992        1605        1                   953/332             
A     5694        36          5658        5817        7944        8895        6980        7272        123         36          1                   3837/1886           
A     7968        394         7574        8509        5523        2750        9277        5423        541         394         1                   16477/7574          
A     2558        50          2508        2690        7724        2465        9277        5159        132         50          1                   1312/627            
A     8137        332         7805        9698        78          6769        6164        8949        1561        332         1                   3567/1561           
A     5455        1129        4326        7618        3881        8708        6069        3588        2163        1129        1                   13073/4326          
A     2603        55          2548        2701        2282        2565        7194        6783        98          55          1                   102/49              
A     1115        174         941         2056        3598        5696        9793        7967        941         174         1                   3171/941            
A     7409        557         6852        9122        1907        402         6485        6246        1713        557         1                   16531/6852          
A     1080        322         758         1838        3476        2174        7189        6899        758         322         1                   1459/379            
A     5522        1292        4230        6932        8545        5266        9045        9896        1410        1292        1                   6227/2115           
A     6391        1264        5127        8100        7298        2555        1884        5616        1709        1264        1                   14491/5127          
A     7071        597         6474        8150        2018        7057        7337        6831        1079        597         1                   15221/6474          
A     5357        206         5151        7074        9127        9745        9957        6858        1717        206         1                   12431/5151          
A     5403        363         5040        5963        6085        4679        7599        6832        560         363         1                   5683/2520           
A     7060        1600        5460        8880        3895        1141        7399        26          1820        1600        1                   797/273             
A     4178        251         3927        5487        9107        237         7399        9422        1309        251         1                   9665/3927           
A     3763        125         3638        3977        4372        9879        7441        9869        214         125         1                   3870/1819           
A     5839        181         5658        8668        3080        4132        1424        767         2829        181         1                   14507/5658          
A     2352        1050        1302        3654        2714        9748        8863        8873        1302        1050        1                   143/31              
A     2233        1085        1148        3381        3222        2516        8559        4625        1148        1085        1                   401/82              
A     7402        820         6582        9596        892         1441        8559        3800        2194        820         1                   2833/1097           
A     5157        1622        3535        8692        7764        1290        3125        6098        3535        1622        1                   13849/3535          
A     8626        10          8616        8638        40          1711        3125        2492        12          10          1                   2158/1077           
A     8980        106         8874        9241        6114        665         7721        6273        261         106         1                   18221/8874          
A     5746        690         5056        7010        2459        5264        8341        8196        1264        690         1                   3189/1264           
A     5097        21          5076        5144        6597        8256        8341        5924        47          21          1                   10241/5076          
A     4609        1147        3462        6340        5866        1306        3391        950         1731        1147        1                   10949/3462          
A     5144        90          5054        7671        8159        751         429         4355        2527        90          1                   12815/5054          
A     3142        974         2168        5310        840         3210        7333        4249        2168        974         1                   2113/542            
A     8249        269         7980        8648        7968        5575        9341        9563        399         269         1                   16897/7980          
A     6213        27          6186        7244        913         7868        7940        6430        1031        27          1                   13457/6186          
A     3262        42          3220        3722        2746        4023        566         5851        460         42          1                   1746/805            
A     7520        160         7360        7980        9348        5349        9930        4154        460         160         1                   775/368             
A     5932        91          5841        7879        232         9958        4698        5972        1947        91          1                   13811/5841          
A     2751        603         2148        3467        2983        4425        8466        4688        716         603         1                   3109/1074           
A     5556        1998        3558        9114        5633        7449        4077        1154        3558        1998        1                   2445/593            
A     7472        596         6876        8618        21          885         3522        503         1146        596         1                   8045/3438           
A     7927        465         7462        8460        4751        7680        5519        9965        533         465         1                   2341/1066           
A     3400        472         2928        3888        8677        646         7770        1514        488         472         1                   911/366             
A     2945        1337        1608        4553        9496        6635        1038        9943        1608        1337        1                   3749/804            
A     5023        2276        2747        7770        7901        9201        6808        6174        2747        2276        1                   12793/2747          
A     7011        2223        4788        9405        3553        4693        8786        2559        2394        2223        1                   24/7                
A     5415        1191        4224        6823        2491        4192        2712        8379        1408        1191        1                   6119/2112           
A     5197        1544        3653        8850        5321        4456        6813        167         3653        1544        1                   14047/3653          
A     2775        127         2648        4099        5332        6175        6819        6421        1324        127         1                   3437/1324           
A     3620        1765        1855        5475        3036        445         6923        8290        1855        1765        1                   1819/371            
A     2937        1090        1847        4784        2164        1734        9269        7987        1847        1090        1                   7721/1847           
A     6241        321         5920        6611        1805        7911        8819        8156        370         321         1                   3213/1480           
A     6610        38          6572        6716        8055        2311        7105        9894        106         38          1                   6663/3286           
A     9198        494         8704        9710        4110        5483        4028        9162        512         494         1                   4727/2176           
A     2642        374         2268        4910        2824        5557        9922        2506        2268        374         1                   1888/567            
